rank,ticker,total_score,data_quality_score,total_bonus_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,debt_free_bonus,net_cash_bonus
1,6861,115,100,15,True,実質無借金,0.0,1059145000000.0,9.496344418621963,549775000000.0,398656000000.0,12.380121033844697,False,3108552000000.0,3289224000000.0,3108552000000.0,0.0,579051000000.0,False,[],967288000000.0,,,True,10,5
2,6954,115,100,15,True,実質無借金,0.0,797129000000.0,0.23325294175340827,158846000000.0,147557000000.0,6.447625315662972,False,1724545000000.0,1937031000000.0,1724545000000.0,0.0,590504000000.0,False,[],795274000000.0,,,True,10,5
3,7974,115,100,15,True,実質無借金,0.0,1164922000000.0,-30.322005664332945,282554000000.0,278806000000.0,7.260063590040253,False,2724326000000.0,3398515000000.0,2724326000000.0,0.0,1586275000000.0,False,[],1671865000000.0,,,True,10,5
4,9684,115,100,15,True,実質無借金,0.0,324506000000.0,-8.934624969130953,40586000000.0,24414000000.0,8.453856728817897,False,336062000000.0,416160000000.0,336062000000.0,0.0,247760000000.0,False,[],356344000000.0,,,True,10,5
5,6861,115,100,15,True,実質無借金,0.0,1059145000000.0,9.496344418621963,549775000000.0,398656000000.0,12.380121033844697,False,3108552000000.0,3289224000000.0,3108552000000.0,0.0,579051000000.0,False,[],967288000000.0,,,True,10,5
6,9684,115,100,15,True,実質無借金,0.0,324506000000.0,-8.934624969130953,40586000000.0,24414000000.0,8.453856728817897,False,336062000000.0,416160000000.0,336062000000.0,0.0,247760000000.0,False,[],356344000000.0,,,True,10,5
7,7974,115,100,15,True,実質無借金,0.0,1164922000000.0,-30.322005664332945,282554000000.0,278806000000.0,7.260063590040253,False,2724326000000.0,3398515000000.0,2724326000000.0,0.0,1586275000000.0,False,[],1671865000000.0,,,True,10,5
8,6954,115,100,15,True,実質無借金,0.0,797129000000.0,0.23325294175340827,158846000000.0,147557000000.0,6.447625315662972,False,1724545000000.0,1937031000000.0,1724545000000.0,0.0,590504000000.0,False,[],795274000000.0,,,True,10,5
9,9735,105,100,5,False,実質無借金,0.056948219659667794,1199942000000.0,3.914474253944611,144306000000.0,108109000000.0,7.523264846491114,False,1342691000000.0,2145576000000.0,1270347000000.0,72344000000.0,549773000000.0,False,[],1154740000000.0,,,False,0,5
10,9697,105,100,5,False,実質無借金,0.05265506864690261,169604000000.0,11.281411980841153,65777000000.0,48453000000.0,19.328391102305023,False,238219000000.0,312982000000.0,226303000000.0,11916000000.0,166783000000.0,False,[],152410000000.0,,,False,0,5
11,8306,105,100,5,False,実質無借金,1.1666525262562082,6838439000000.0,16.304433417945415,2550634000000.0,1862946000000.0,4.015793868828956,False,44460544000000.0,413113501000000.0,20520385000000.0,23940159000000.0,109095437000000.0,False,[],5879775000000.0,,,False,0,5
12,9983,105,100,5,False,実質無借金,0.22590146121071744,3400539000000.0,9.559235732815779,562561000000.0,433009000000.0,14.131578994586622,False,2786615000000.0,3859353000000.0,2273115000000.0,513500000000.0,893239000000.0,False,[],3103836000000.0,,,False,0,5
13,4063,105,100,5,False,実質無借金,0.0036120339648298004,2561249000000.0,6.058625960014692,742105000000.0,534021000000.0,11.101495497948308,False,4679311000000.0,5636601000000.0,4662470000000.0,16841000000.0,1708438000000.0,False,[],2414937000000.0,,,False,0,5
14,6098,105,100,5,False,実質無借金,0.12916810399720077,3557478000000.0,4.126630473596895,490543000000.0,408504000000.0,18.799669535872003,False,1826522000000.0,2772252000000.0,1617582000000.0,208940000000.0,808625000000.0,False,[],3416492000000.0,,,False,0,5
15,7267,105,100,5,False,実質無借金,0.3587576032149845,21688767000000.0,6.167591227326986,1213486000000.0,835837000000.0,5.0716587163292335,False,16748765000000.0,30775867000000.0,12326529000000.0,4422236000000.0,4528795000000.0,False,[],20428802000000.0,,,False,0,5
16,9989,105,100,5,False,実質無借金,0.14335926203311655,801811000000.0,6.655431065329213,44500000000.0,30750000000.0,10.101173876386275,False,308380000000.0,444007000000.0,269714000000.0,38666000000.0,64956000000.0,False,[],751777000000.0,,,False,0,5
17,8306,105,100,5,False,実質無借金,1.1666525262562082,6838439000000.0,16.304433417945415,2550634000000.0,1862946000000.0,4.015793868828956,False,44460544000000.0,413113501000000.0,20520385000000.0,23940159000000.0,109095437000000.0,False,[],5879775000000.0,,,False,0,5
