rank,ticker,growth_rank_score,score_growth,score_profit,penalty,total_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,score_value,score_safety
1,3489,70.0,40.0,30.0,0.0,79.17053364912857,False,,1.6354760404063573,29915894000.0,34.245246327841464,4519033000.0,2769383000.0,39.169,2.7506666,7.967754,32.51160094738573,12.291336627344494,False,25736201000.0,30036340000.0,9765295000.0,15970906000.0,8838769000.0,False,[],22284509000.0,,,False,5.0,4.1705336491285765
2,6184,70.0,40.0,30.0,0.0,80.77980625000001,False,実質無借金,0.018260496506200975,7061312000.0,20.503412718836884,910917000.0,687402000.0,27.223999999999997,6.36518,26.880775,68.5307745797692,16.97119478036975,False,3757201000.0,5384184000.0,3689823000.0,67378000.0,2085473000.0,False,[],5859844000.0,,,False,0.77980625,10.0
3,4058,70.0,40.0,30.0,0.0,80.316246,True,実質無借金,0.0,3146000000.0,29.244188530543695,1162000000.0,841000000.0,27.646285338593028,7.724018,28.735016,65.23697190649797,26.738987508218276,False,3042000000.0,4663000000.0,3042000000.0,0.0,4196000000.0,False,[],2434152000.0,,,True,0.3162459999999996,10.0
4,5591,70.0,40.0,30.0,0.0,78.26628552836459,False,実質無借金,0.7396944948633081,1241485000.0,33.55231947090482,189354000.0,116012000.0,20.99411320809348,11.47862,46.296295,44.79885658509377,13.787773978694387,False,961343000.0,1233498000.0,552593000.0,408750000.0,566333000.0,False,[],929587000.0,,,False,0.0,8.266285528364591
5,4377,70.0,40.0,30.0,0.0,80.0,False,実質無借金,0.026190357264197273,5401367000.0,36.04457808141064,1296146000.0,923371000.0,30.756,9.126819,76.34125,70.53611762362547,21.86249815965585,False,4150039000.0,5733406000.0,4044122000.0,105917000.0,4309661000.0,False,[],3970292000.0,,,False,0.0,10.0
6,4439,70.0,40.0,30.0,0.0,84.11722375,False,実質無借金,0.15529448603328408,29070434000.0,21.539073936253182,3292660000.0,2432598000.0,27.204,3.4505322,13.531105,59.0806266951255,20.36194126204419,False,11319461000.0,16583949000.0,9797901000.0,1521560000.0,7884265000.0,False,[],23918591000.0,,,False,4.11722375,10.0
7,6525,70.0,40.0,30.0,0.0,80.0,False,,0.30679825455731824,238933000000.0,32.125438237538575,51320000000.0,36004000000.0,17.130000000000003,7.172106,44.71772,57.441026962449335,14.013543877168894,False,256352000000.0,341512000000.0,196168000000.0,60184000000.0,44755000000.0,False,[],180838000000.0,,,False,0.0,10.0
8,3962,70.0,40.0,30.0,0.0,82.16599402672806,False,,0.8355068599408543,46387000000.0,25.322850813205815,12553000000.0,7532000000.0,15.534,1.8127449,10.905473,39.36826033018418,11.604421436306488,False,75722000000.0,104790000000.0,41254000000.0,34468000000.0,30185000000.0,False,[],37014000000.0,,,False,5.70990725,6.456086776728059
9,6254,70.0,40.0,30.0,0.0,78.40780494274583,False,,1.437384121341979,96359952000.0,31.96109430038167,15372162000.0,10199642000.0,35.914,3.706434,11.961563,31.69458707823749,11.927344654717906,False,90217175000.0,116783140000.0,37013934000.0,53203241000.0,17330150000.0,False,[],73021486000.0,,,False,4.5096092500000005,3.89819569274583
10,3558,70.0,40.0,30.0,0.0,81.86612376450955,False,実質無借金,0.12891826427258507,19231316000.0,43.98825411775981,1535039000.0,565050000.0,17.997,2.6372654,16.129635,45.195597543528685,17.3737071105082,False,6184790000.0,12121778000.0,5478510000.0,706280000.0,2993436000.0,False,[],13356170000.0,,,False,3.4675912499999995,8.398532514509562
11,6195,70.0,40.0,30.0,0.0,84.636011,False,実質無借金,0.12091431716555794,3140691000.0,22.985950967596416,291628000.0,358008000.0,35.044998,3.5743785,11.455956,53.85590190874881,15.760645250449915,False,1295249000.0,2145594000.0,1155529000.0,139720000.0,977609000.0,False,[],2553699000.0,,,False,4.636011,10.0
12,4258,70.0,40.0,30.0,0.0,76.45718995526207,False,実質無借金,0.5002417843733657,4767519000.0,33.94774387101958,526392000.0,384900000.0,28.798000000000002,10.112527,50.503384,39.371569865786185,11.519818121166892,False,3198613000.0,5415240000.0,2132065000.0,1066548000.0,3579003000.0,False,[],3559238000.0,,,False,0.0,6.457189955262062
13,4386,70.0,40.0,30.0,0.0,82.08392454002438,False,実質無借金,0.6571841294848924,8769202000.0,26.96455715959218,583754000.0,480567000.0,20.165001,2.0992799,11.19813,42.15037112007315,10.059082627797169,False,4062277000.0,5815638000.0,2451313000.0,1610964000.0,2207245000.0,False,[],6906811000.0,,,False,4.7004675,7.383457040024384
14,2991,70.0,40.0,30.0,0.0,82.39750753994173,False,,1.469023538227034,77790938000.0,22.221296814383283,2785755000.0,1840334000.0,23.724999999999998,1.3665819,6.605114,32.691251119825196,8.896475824385586,False,21919112000.0,27156024000.0,8877644000.0,13041468000.0,3935970000.0,False,[],63647613000.0,,,False,8.1670905,4.230417039941732
15,6560,70.0,40.0,30.0,0.0,81.69435691185026,False,実質無借金,0.8505369274600044,16592000000.0,35.53340957359909,1108000000.0,973000000.0,16.714000000000002,1.9461461,10.9920435,40.01929486055078,9.185220274751304,False,8444000000.0,11402000000.0,4563000000.0,3881000000.0,5447000000.0,False,[],12242000000.0,,,False,5.021258625,6.67309828685026
