,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00,2021-08-31 00:00:00
Free Cash Flow,7203,-1560993000000.0,-842021000000.0,-750756000000.0,-107629000000.0,,,,,,
Repayment Of Debt,7203,-10872262000000.0,-8752329000000.0,-8353033000000.0,-8843665000000.0,,,,,,
Issuance Of Debt,7203,13381581000000.0,12057349000000.0,9276918000000.0,8122678000000.0,,,,,,
Capital Expenditure,7203,-5257927000000.0,-5048394000000.0,-3705832000000.0,-3830244000000.0,,,,,,
End Cash Position,7203,8982404000000.0,9412060000000.0,7516966000000.0,6113655000000.0,,,,,,
Beginning Cash Position,7203,9412060000000.0,7516966000000.0,6113655000000.0,5100857000000.0,,,,,,
Effect Of Exchange Rate Changes,7203,-134089000000.0,189914000000.0,103305000000.0,334195000000.0,,,,,,
Changes In Cash,7203,-295567000000.0,1705180000000.0,1300006000000.0,678603000000.0,,,,,,
Financing Cash Flow,7203,197236000000.0,2497558000000.0,-56180000000.0,-2466516000000.0,,,,,,
Cash Flow From Continuing Financing Activities,7203,197235000000.0,2497558000000.0,-56181000000.0,-2466516000000.0,,,,,,
Net Other Financing Charges,7203,-76386000000.0,-97936000000.0,-60675000000.0,-51723000000.0,,,,,,
Cash Dividends Paid,7203,-1132329000000.0,-880197000000.0,-727980000000.0,-709872000000.0,,,,,,
Common Stock Dividend Paid,7203,-1132329000000.0,-880197000000.0,-727980000000.0,-709872000000.0,,,,,,
Net Common Stock Issuance,7203,-1179043000000.0,-231069000000.0,-431099000000.0,-404718000000.0,,,,,,
Net Issuance Payments Of Debt,7203,2584994000000.0,3706760000000.0,1163574000000.0,-1300203000000.0,,,,,,
Net Short Term Debt Issuance,7203,75675000000.0,401740000000.0,239689000000.0,-579216000000.0,,,,,,
Net Long Term Debt Issuance,7203,2509319000000.0,3305020000000.0,923885000000.0,-720987000000.0,,,,,,
Long Term Debt Payments,7203,-10872262000000.0,-8752329000000.0,-8353033000000.0,-8843665000000.0,,,,,,
Long Term Debt Issuance,7203,13381581000000.0,12057349000000.0,9276918000000.0,8122678000000.0,,,,,,
Investing Cash Flow,7203,-4189736000000.0,-4998751000000.0,-1598890000000.0,-577496000000.0,,,,,,
Cash Flow From Continuing Investing Activities,7203,-4189737000000.0,-4998751000000.0,-1598891000000.0,-577494000000.0,,,,,,
Net Other Investing Changes,7203,-494550000000.0,-1392565000000.0,207830000000.0,1898141000000.0,,,,,,
Net Investment Purchase And Sale,7203,-215979000000.0,-721411000000.0,183515000000.0,-225274000000.0,,,,,,
Sale Of Investment,7203,3749571000000.0,2251368000000.0,1333729000000.0,2202637000000.0,,,,,,
Purchase Of Investment,7203,-3965550000000.0,-2972779000000.0,-1150214000000.0,-2427911000000.0,,,,,,
Net Intangibles Purchase And Sale,7203,-354196000000.0,-334287000000.0,-348280000000.0,-346085000000.0,,,,,,
Purchase Of Intangibles,7203,-354196000000.0,-334287000000.0,-348280000000.0,-346085000000.0,,,,,,
Net PPE Purchase And Sale,7203,-3125011000000.0,-2550488000000.0,-1641955000000.0,-1904278000000.0,,,,,,
Sale Of PPE,7203,1778720000000.0,2163619000000.0,1715597000000.0,1579881000000.0,,,,,,
Purchase Of PPE,7203,-4903731000000.0,-4714107000000.0,-3357552000000.0,-3484159000000.0,,,,,,
Operating Cash Flow,7203,3696934000000.0,4206373000000.0,2955076000000.0,3722615000000.0,,,,,,
Cash Flow From Continuing Operating Activities,7203,3696933000000.0,4206374000000.0,2955075000000.0,3722617000000.0,,,,,,
Taxes Refund Paid,7203,-2501315000000.0,-1124322000000.0,-1297224000000.0,-809763000000.0,,,,,,
Interest Received Cfo,7203,2672724000000.0,2292156000000.0,1516404000000.0,835739000000.0,,,,,,
Interest Paid Cfo,7203,-1609083000000.0,-1148392000000.0,-593216000000.0,-418043000000.0,,,,,,
Dividend Received Cfo,7203,623295000000.0,587259000000.0,460351000000.0,347387000000.0,,,,,,
Change In Working Capital,7203,-2815550000000.0,-3975836000000.0,-1502482000000.0,-1130667000000.0,,,,,,
Change In Other Working Capital,7203,-987645000000.0,-411358000000.0,-76953000000.0,-5478000000.0,,,,,,
Change In Other Current Liabilities,7203,676465000000.0,666352000000.0,566879000000.0,470965000000.0,,,,,,
Change In Other Current Assets,7203,-462114000000.0,-326365000000.0,-61538000000.0,71314000000.0,,,,,,
Change In Payables And Accrued Expense,7203,362924000000.0,560737000000.0,712400000000.0,152399000000.0,,,,,,
Change In Payable,7203,362924000000.0,560737000000.0,712400000000.0,152399000000.0,,,,,,
Change In Inventory,7203,-70654000000.0,-207529000000.0,-350550000000.0,-725285000000.0,,,,,,
Change In Receivables,7203,-2334526000000.0,-4257673000000.0,-2292720000000.0,-1094582000000.0,,,,,,
Changes In Account Receivables,7203,55139000000.0,-859239000000.0,-532432000000.0,118652000000.0,,,,,,
Other Non Cash Items,7203,-747741000000.0,-713507000000.0,-694330000000.0,-354104000000.0,,,,,,
Deferred Tax,7203,1624835000000.0,1893665000000.0,1175765000000.0,1115918000000.0,,,,,,
Deferred Income Tax,7203,1624835000000.0,1893665000000.0,1175765000000.0,1115918000000.0,,,,,,
Depreciation Amortization Depletion,7203,2251233000000.0,2087066000000.0,2039904000000.0,1821880000000.0,,,,,,
Depreciation And Amortization,7203,2251233000000.0,2087066000000.0,2039904000000.0,1821880000000.0,,,,,,
Operating Gains Losses,7203,-591219000000.0,-763137000000.0,-643063000000.0,-560346000000.0,,,,,,
Earnings Losses From Equity Investments,7203,-591219000000.0,-763137000000.0,-643063000000.0,-560346000000.0,,,,,,
Net Income From Continuing Operations,7203,4789755000000.0,5071421000000.0,2492967000000.0,2874614000000.0,,,,,,
Free Cash Flow,6758,1674148000000.0,749267000000.0,-298944000000.0,792547000000.0,,,,,,
Repurchase Of Capital Stock,6758,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,,,,,,
Repayment Of Debt,6758,-181085000000.0,-128150000000.0,-132198000000.0,-194562000000.0,,,,,,
Issuance Of Debt,6758,139298000000.0,225176000000.0,361776000000.0,31458000000.0,,,,,,
Capital Expenditure,6758,-647527000000.0,-623946000000.0,-613635000000.0,-441096000000.0,,,,,,
Interest Paid Supplemental Data,6758,113260000000.0,97524000000.0,39015000000.0,15450000000.0,,,,,,
Income Tax Paid Supplemental Data,6758,,,,,119084000000.0,,,,,
End Cash Position,6758,2980956000000.0,1907113000000.0,1480900000000.0,2049636000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,6758,,,,,-582000000.0,,,,,
Beginning Cash Position,6758,1907113000000.0,1480900000000.0,2049636000000.0,1786982000000.0,,,,,,
Effect Of Exchange Rate Changes,6758,-19469000000.0,82595000000.0,84937000000.0,94369000000.0,,,,,,
Changes In Cash,6758,1093312000000.0,343618000000.0,-653673000000.0,168285000000.0,,,,,,
Financing Cash Flow,6758,-298243000000.0,-210709000000.0,84300000000.0,-336578000000.0,,,,,,
Cash Flow From Continuing Financing Activities,6758,-298243000000.0,-210709000000.0,84300000000.0,-336578000000.0,,,,,,
Net Other Financing Charges,6758,172930000000.0,12229000000.0,8147000000.0,-10916000000.0,,,,,,
Cash Dividends Paid,6758,-115253000000.0,-98620000000.0,-86568000000.0,-74342000000.0,,,,,,
Common Stock Dividend Paid,6758,-115253000000.0,-98620000000.0,-86568000000.0,-74342000000.0,,,,,,
Net Common Stock Issuance,6758,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,,,,,,
Common Stock Payments,6758,-285548000000.0,-202974000000.0,-99248000000.0,-88624000000.0,,,,,,
Net Issuance Payments Of Debt,6758,-70372000000.0,78656000000.0,261969000000.0,-162696000000.0,,,,,,
Net Short Term Debt Issuance,6758,-28585000000.0,-18370000000.0,32391000000.0,408000000.0,,,,,,
Short Term Debt Payments,6758,,,0.0,0.0,-414834000000.0,,,,,
Short Term Debt Issuance,6758,,,32391000000.0,408000000.0,396500000000.0,,,,,
Net Long Term Debt Issuance,6758,-41787000000.0,97026000000.0,229578000000.0,-163104000000.0,,,,,,
Long Term Debt Payments,6758,-181085000000.0,-128150000000.0,-132198000000.0,-194562000000.0,,,,,,
Long Term Debt Issuance,6758,139298000000.0,225176000000.0,361776000000.0,31458000000.0,,,,,,
Investing Cash Flow,6758,-930120000000.0,-818886000000.0,-1052664000000.0,-728780000000.0,,,,,,
Cash Flow From Continuing Investing Activities,6758,-930120000000.0,-818886000000.0,-1052664000000.0,-728780000000.0,,,,,,
Net Other Investing Changes,6758,48334000000.0,-4429000000.0,9138000000.0,-11083000000.0,,,,,,
Net Investment Purchase And Sale,6758,-51996000000.0,-2827000000.0,-177581000000.0,-75001000000.0,,,,,,
Sale Of Investment,6758,46540000000.0,92679000000.0,13548000000.0,16081000000.0,,,,,,
Purchase Of Investment,6758,-98536000000.0,-95506000000.0,-191129000000.0,-91082000000.0,,,,,,
Net Business Purchase And Sale,6758,-294417000000.0,-199255000000.0,-282181000000.0,-213009000000.0,,,,,,
Sale Of Business,6758,0.0,0.0,1221000000.0,64609000000.0,,,,,,
Purchase Of Business,6758,-294417000000.0,-199255000000.0,-283402000000.0,-277618000000.0,,,,,,
Net PPE Purchase And Sale,6758,-632041000000.0,-612375000000.0,-602040000000.0,-429687000000.0,,,,,,
Sale Of PPE,6758,15486000000.0,11571000000.0,11595000000.0,11409000000.0,,,,,,
Purchase Of PPE,6758,-647527000000.0,-623946000000.0,-613635000000.0,-441096000000.0,,,,,,
Operating Cash Flow,6758,2321675000000.0,1373213000000.0,314691000000.0,1233643000000.0,,,,,,
Cash Flow From Continuing Operating Activities,6758,2321675000000.0,1373213000000.0,314691000000.0,1233643000000.0,,,,,,
Taxes Refund Paid,6758,-300529000000.0,-293997000000.0,-297881000000.0,-269885000000.0,,,,,,
Change In Working Capital,6758,35432000000.0,-562911000000.0,-1543894000000.0,-1380542000000.0,,,,,,
Change In Other Working Capital,6758,974763000000.0,1907268000000.0,630855000000.0,112899000000.0,,,,,,
Change In Other Current Liabilities,6758,99551000000.0,-21954000000.0,241456000000.0,971546000000.0,,,,,,
Change In Other Current Assets,6758,-1588912000000.0,-2266917000000.0,-1682407000000.0,-2244098000000.0,,,,,,
Change In Payables And Accrued Expense,6758,121491000000.0,-13303000000.0,-103067000000.0,144829000000.0,,,,,,
Change In Accrued Expense,6758,,,,,80165000000.0,,,,,
Change In Payable,6758,121491000000.0,-13303000000.0,-103067000000.0,144829000000.0,,,,,,
Change In Account Payable,6758,121491000000.0,-13303000000.0,-103067000000.0,126989000000.0,,,,,,
Change In Tax Payable,6758,,-22491000000.0,4183000000.0,17840000000.0,19164000000.0,,,,,
Change In Income Tax Payable,6758,,-22491000000.0,4183000000.0,17840000000.0,19164000000.0,,,,,
Change In Inventory,6758,199916000000.0,75641000000.0,-560382000000.0,-194624000000.0,,,,,,
Change In Receivables,6758,228623000000.0,-243646000000.0,-70349000000.0,-171094000000.0,,,,,,
Other Non Cash Items,6758,17384000000.0,-78298000000.0,-104658000000.0,951163000000.0,,,,,,
Unrealized Gain Loss On Investment Securities,6758,,,,,-247033000000.0,,,,,
Deferred Tax,6758,,,4183000000.0,17840000000.0,-153427000000.0,,,,,
Deferred Income Tax,6758,,,4183000000.0,17840000000.0,-153427000000.0,,,,,
Depreciation Amortization Depletion,6758,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,,,,,,
Depreciation And Amortization,6758,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,,,,,,
Amortization Cash Flow,6758,,,,,273044000000.0,,,,,
Amortization Of Intangibles,6758,,,,,273044000000.0,,,,,
