,2025-03-31,2024-09-30
Treasury Shares Number,19353121.0,19802926.0
Ordinary Shares Number,1790309954.0,1789860149.0
Share Issued,1809663075.0,1809663075.0
Net Debt,643054000000.0,634504000000.0
Total Debt,831426000000.0,927497000000.0
Tangible Book Value,-25666000000.0,-191195000000.0
Invested Capital,2344681000000.0,2457339000000.0
Working Capital,139739000000.0,109654000000.0
Net Tangible Assets,-25666000000.0,-191195000000.0
Common Stock Equity,1513255000000.0,1529842000000.0
Total Capitalization,2078148000000.0,2150082000000.0
Total Equity Gross Minority Interest,1513255000000.0,1529842000000.0
Stockholders Equity,1513255000000.0,1529842000000.0
Other Equity Interest,521580000000.0,463700000000.0
Treasury Stock,37524000000.0,38017000000.0
Retained Earnings,740939000000.0,817614000000.0
Additional Paid In Capital,185259000000.0,183544000000.0
Capital Stock,103001000000.0,103001000000.0
Common Stock,103001000000.0,103001000000.0
Total Liabilities Net Minority Interest,1826289000000.0,1932395000000.0
Total Non Current Liabilities Net Minority Interest,764679000000.0,839040000000.0
Other Non Current Liabilities,53568000000.0,46685000000.0
Non Current Pension And Other Postretirement Benefit Plans,22746000000.0,23739000000.0
Tradeand Other Payables Non Current,3230000000.0,9798000000.0
Non Current Deferred Taxes Liabilities,5353000000.0,23624000000.0
Long Term Debt And Capital Lease Obligation,564893000000.0,620240000000.0
Long Term Debt,564893000000.0,620240000000.0
Long Term Provisions,8130000000.0,4519000000.0
Current Liabilities,1061610000000.0,1093355000000.0
Other Current Liabilities,535253000000.0,488484000000.0
Current Debt And Capital Lease Obligation,266533000000.0,307257000000.0
Current Debt,266533000000.0,307257000000.0
Current Provisions,17291000000.0,14189000000.0
Payables,222389000000.0,197212000000.0
Total Tax Payable,34549000000.0,36045000000.0
Accounts Payable,187840000000.0,161167000000.0
Total Assets,3339544000000.0,3462237000000.0
Total Non Current Assets,2138195000000.0,2259229000000.0
Other Non Current Assets,28603000000.0,26553000000.0
Non Current Deferred Taxes Assets,98113000000.0,53173000000.0
Investmentin Financial Assets,106195000000.0,104898000000.0
Available For Sale Securities,106195000000.0,104898000000.0
Long Term Equity Investment,18989000000.0,18141000000.0
Goodwill And Other Intangible Assets,1538921000000.0,1721037000000.0
Other Intangible Assets,1123714000000.0,1321601000000.0
Goodwill,415207000000.0,399436000000.0
Net PPE,328921000000.0,315345000000.0
Current Assets,1201349000000.0,1203009000000.0
Other Current Assets,39196000000.0,42646000000.0
Assets Held For Sale Current,363000000.0,0.0
Inventory,297261000000.0,260214000000.0
Taxes Receivable,13691000000.0,12623000000.0
Accounts Receivable,632525000000.0,558269000000.0
Cash Cash Equivalents And Short Term Investments,218313000000.0,329257000000.0
Other Short Term Investments,29941000000.0,36264000000.0
Cash And Cash Equivalents,188372000000.0,292993000000.0
