,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.226,0.168,0.2612,0.222
Normalized EBITDA,647005000000.0,574581000000.0,494747000000.0,510244000000.0
Net Income From Continuing Operation Net Minority Interest,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Reconciled Depreciation,109237000000.0,117481000000.0,122044000000.0,123169000000.0
Reconciled Cost Of Revenue,1471834000000.0,1451961000000.0,1432643000000.0,1221684000000.0
EBITDA,647005000000.0,574581000000.0,494747000000.0,510244000000.0
EBIT,537768000000.0,457100000000.0,372703000000.0,387075000000.0
Net Interest Income,45412000000.0,25071000000.0,20449000000.0,-1530000000.0
Interest Expense,10625000000.0,30859000000.0,4936000000.0,4326000000.0
Interest Income,56037000000.0,55930000000.0,25385000000.0,2796000000.0
Normalized Income,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Net Income From Continuing And Discontinued Operation,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Total Expenses,3066935000000.0,3013964000000.0,3085214000000.0,2492775000000.0
Total Operating Income As Reported,490542000000.0,402526000000.0,344303000000.0,378929000000.0
Diluted Average Shares,1522450805.0,1586603858.0,1611280000.0,1641487000.0
Basic Average Shares,1504951370.0,1564909952.0,1600299487.0,1633830000.0
Diluted EPS,268.32,222.9,167.44,180.83
Basic EPS,271.44,225.99,168.59,181.68
Diluted NI Availto Com Stockholders,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Net Income Common Stockholders,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,408504000000.0,353654000000.0,269799000000.0,296833000000.0
Minority Interests,344000000.0,-942000000.0,-1872000000.0,-889000000.0
Net Income Including Noncontrolling Interests,408159000000.0,354596000000.0,271671000000.0,297722000000.0
Net Income Continuous Operations,408159000000.0,354596000000.0,271671000000.0,297722000000.0
Tax Provision,118983000000.0,71645000000.0,96096000000.0,85026000000.0
Pretax Income,527143000000.0,426241000000.0,367767000000.0,382749000000.0
Net Non Operating Interest Income Expense,45412000000.0,25071000000.0,20449000000.0,-1530000000.0
Interest Expense Non Operating,10625000000.0,30859000000.0,4936000000.0,4326000000.0
Interest Income Non Operating,56037000000.0,55930000000.0,25385000000.0,2796000000.0
Operating Income,490543000000.0,402527000000.0,344304000000.0,378929000000.0
Operating Expense,1595101000000.0,1562003000000.0,1652571000000.0,1271091000000.0
Other Operating Expenses,39834000000.0,48036000000.0,53888000000.0,23043000000.0
Selling General And Administration,1558654000000.0,1521355000000.0,1603242000000.0,1250305000000.0
General And Administrative Expense,1558654000000.0,1521355000000.0,1603242000000.0,1250305000000.0
Gross Profit,2085644000000.0,1964530000000.0,1996875000000.0,1650020000000.0
Cost Of Revenue,1471834000000.0,1451961000000.0,1432643000000.0,1221684000000.0
Total Revenue,3557478000000.0,3416492000000.0,3429519000000.0,2871705000000.0
Operating Revenue,3557478000000.0,3416492000000.0,3429519000000.0,2871705000000.0
