,2024-09-30,2024-06-30
Treasury Shares Number,682221.0,682190.0
Ordinary Shares Number,242525463.0,242525494.0
Share Issued,243207684.0,243207684.0
Tangible Book Value,2942761000000.0,2866193000000.0
Invested Capital,2948608000000.0,2871322000000.0
Working Capital,1437688000000.0,1380360000000.0
Net Tangible Assets,2942761000000.0,2866193000000.0
Common Stock Equity,2948608000000.0,2871322000000.0
Total Capitalization,2948608000000.0,2871322000000.0
Total Equity Gross Minority Interest,2948608000000.0,2871322000000.0
Stockholders Equity,2948608000000.0,2871322000000.0
Treasury Stock,3830000000.0,3828000000.0
Retained Earnings,2854040000000.0,2757855000000.0
Additional Paid In Capital,30541000000.0,30541000000.0
Capital Stock,30637000000.0,30637000000.0
Common Stock,30637000000.0,30637000000.0
Total Liabilities Net Minority Interest,165945000000.0,131593000000.0
Total Non Current Liabilities Net Minority Interest,12408000000.0,13615000000.0
Other Non Current Liabilities,,13615000000.0
Current Liabilities,153537000000.0,117978000000.0
Other Current Liabilities,41329000000.0,45919000000.0
Pensionand Other Post Retirement Benefit Plans Current,17128000000.0,13979000000.0
Payables,95080000000.0,58080000000.0
Total Tax Payable,76676000000.0,40087000000.0
Accounts Payable,18404000000.0,17993000000.0
Total Assets,3114553000000.0,3002915000000.0
Total Non Current Assets,1523326000000.0,1504573000000.0
Other Non Current Assets,22086000000.0,21895000000.0
Non Current Prepaid Assets,,18675000000.0
Investmentin Financial Assets,1417726000000.0,1398591000000.0
Available For Sale Securities,1417726000000.0,1398591000000.0
Goodwill And Other Intangible Assets,5847000000.0,5129000000.0
Net PPE,77667000000.0,78958000000.0
Current Assets,1591225000000.0,1498338000000.0
Other Current Assets,11388000000.0,14563000000.0
Inventory,77406000000.0,79005000000.0
Accounts Receivable,296014000000.0,291294000000.0
Gross Accounts Receivable,296014000000.0,291294000000.0
Cash Cash Equivalents And Short Term Investments,1206417000000.0,1113476000000.0
Other Short Term Investments,656248000000.0,617400000000.0
Cash And Cash Equivalents,550169000000.0,496076000000.0
