,2025-06-30,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,,0.0,0.0
Tax Rate For Calcs,,0.283661,0.288404
Normalized EBITDA,,140560000000.0,123405000000.0
Net Income From Continuing Operation Net Minority Interest,,96186000000.0,93534000000.0
Reconciled Cost Of Revenue,,42467000000.0,39831000000.0
EBITDA,,140560000000.0,123405000000.0
EBIT,,140560000000.0,123405000000.0
Net Interest Income,,2228000000.0,1677000000.0
Interest Income,,2228000000.0,1677000000.0
Normalized Income,,96186000000.0,93534000000.0
Net Income From Continuing And Discontinued Operation,,96186000000.0,93534000000.0
Total Expenses,,127768000000.0,123817000000.0
Total Operating Income As Reported,,140560000000.0,123405000000.0
Diluted Average Shares,242525407.0,,266463449.0
Basic Average Shares,242525407.0,,266463449.0
Diluted EPS,379.82,,351.02
Basic EPS,379.82,,351.02
Diluted NI Availto Com Stockholders,,96186000000.0,93534000000.0
Net Income Common Stockholders,,96186000000.0,93534000000.0
Otherunder Preferred Stock Dividend,,0.0,0.0
Net Income,,96186000000.0,93534000000.0
Net Income Including Noncontrolling Interests,,96186000000.0,93534000000.0
Net Income Continuous Operations,,96185000000.0,93535000000.0
Tax Provision,,38088000000.0,37909000000.0
Pretax Income,,134273000000.0,131444000000.0
Other Non Operating Income Expenses,,18000000.0,67000000.0
Net Non Operating Interest Income Expense,,2228000000.0,1677000000.0
Interest Income Non Operating,,2228000000.0,1677000000.0
Operating Income,,140560000000.0,123405000000.0
Operating Expense,,85301000000.0,83986000000.0
Gross Profit,,225861000000.0,207391000000.0
Cost Of Revenue,,42467000000.0,39831000000.0
Total Revenue,,268327000000.0,247223000000.0
Operating Revenue,,268327000000.0,247223000000.0
