,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,115962000000.0,-114735000000.0,-150317000000.0,-109038000000.0,-7252000000.0,
Repayment Of Debt,-2859623000000.0,-3090374000000.0,-3364935000000.0,-2674264000000.0,-2753064000000.0,
Issuance Of Debt,3616649000000.0,3302999000000.0,3693274000000.0,2982027000000.0,3224094000000.0,
Capital Expenditure,-164240000000.0,-200394000000.0,-289145000000.0,-193671000000.0,-157206000000.0,
End Cash Position,4677894000000.0,4013757000000.0,4528795000000.0,4961025000000.0,4622289000000.0,
Beginning Cash Position,4013757000000.0,4528795000000.0,4961025000000.0,4622289000000.0,4977263000000.0,
Effect Of Exchange Rate Changes,106042000000.0,-65498000000.0,-147527000000.0,290556000000.0,-414075000000.0,
Changes In Cash,558095000000.0,-449540000000.0,-284703000000.0,48180000000.0,59101000000.0,
Financing Cash Flow,424536000000.0,-325118000000.0,-118339000000.0,81215000000.0,235653000000.0,
Cash Flow From Continuing Financing Activities,424536000000.0,-325118000000.0,-118339000000.0,81215000000.0,235653000000.0,
Net Other Financing Charges,-25517000000.0,-26575000000.0,-16564000000.0,368000000.0,-23166000000.0,
Cash Dividends Paid,0.0,-147960000000.0,0.0,-159387000000.0,0.0,
Common Stock Dividend Paid,0.0,-147960000000.0,0.0,-159387000000.0,0.0,
Net Common Stock Issuance,-306973000000.0,-363208000000.0,-430114000000.0,-67529000000.0,-212211000000.0,
Net Issuance Payments Of Debt,757026000000.0,212625000000.0,328339000000.0,307763000000.0,471030000000.0,
Net Short Term Debt Issuance,-523665000000.0,46867000000.0,-9772000000.0,256719000000.0,-159951000000.0,
Short Term Debt Payments,-2160383000000.0,-2377100000000.0,-2454101000000.0,-2005677000000.0,-2021005000000.0,
Short Term Debt Issuance,1636718000000.0,2423967000000.0,2444329000000.0,2262396000000.0,1861054000000.0,
Net Long Term Debt Issuance,1280691000000.0,165758000000.0,338111000000.0,51044000000.0,630981000000.0,
Long Term Debt Payments,-699240000000.0,-713274000000.0,-910834000000.0,-668587000000.0,-732059000000.0,
Long Term Debt Issuance,1979931000000.0,879032000000.0,1248945000000.0,719631000000.0,1363040000000.0,
Investing Cash Flow,-146643000000.0,-210081000000.0,-305192000000.0,-117668000000.0,-326506000000.0,
Cash Flow From Continuing Investing Activities,-146643000000.0,-210081000000.0,-305192000000.0,-117668000000.0,-326506000000.0,
Net Investment Purchase And Sale,-2844000000.0,31268000000.0,31755000000.0,102339000000.0,-120960000000.0,
Sale Of Investment,60453000000.0,84368000000.0,85338000000.0,218648000000.0,78196000000.0,
Purchase Of Investment,-63297000000.0,-53100000000.0,-53583000000.0,-116309000000.0,-199156000000.0,
Net Business Purchase And Sale,10820000000.0,-43611000000.0,-57666000000.0,-26672000000.0,-50358000000.0,
Sale Of Business,11892000000.0,1142000000.0,9373000000.0,3255000000.0,,0.0
Purchase Of Business,-1072000000.0,-44753000000.0,-67039000000.0,-29927000000.0,-59216000000.0,
Net Intangibles Purchase And Sale,-58734000000.0,-72214000000.0,-105607000000.0,-88449000000.0,-73953000000.0,
Purchase Of Intangibles,-58734000000.0,-72214000000.0,-105607000000.0,-88449000000.0,-73953000000.0,
Net PPE Purchase And Sale,-95885000000.0,-125524000000.0,-173674000000.0,-104886000000.0,-81235000000.0,
Sale Of PPE,9621000000.0,2656000000.0,9864000000.0,336000000.0,2018000000.0,
Purchase Of PPE,-105506000000.0,-128180000000.0,-183538000000.0,-105222000000.0,-83253000000.0,
Operating Cash Flow,280202000000.0,85659000000.0,138828000000.0,84633000000.0,149954000000.0,
Cash Flow From Continuing Operating Activities,280202000000.0,85659000000.0,138828000000.0,84633000000.0,149954000000.0,
Taxes Refund Paid,-133269000000.0,-66967000000.0,-101370000000.0,-93084000000.0,-169749000000.0,
Interest Received Cfo,195233000000.0,178784000000.0,184676000000.0,190673000000.0,181245000000.0,
Interest Paid Cfo,-127869000000.0,-100070000000.0,-126668000000.0,-99251000000.0,-113956000000.0,
Dividend Received Cfo,7688000000.0,52170000000.0,11656000000.0,33454000000.0,30209000000.0,
Change In Working Capital,-97742000000.0,-512123000000.0,-22747000000.0,-473418000000.0,-130927000000.0,
Change In Other Working Capital,-39960000000.0,-99468000000.0,110462000000.0,-4904000000.0,70612000000.0,
Change In Other Current Assets,-108989000000.0,-171611000000.0,-205304000000.0,-224664000000.0,-183395000000.0,
Change In Payables And Accrued Expense,118476000000.0,-309676000000.0,400317000000.0,-119147000000.0,156262000000.0,
Change In Accrued Expense,-10107000000.0,-86071000000.0,139263000000.0,-20822000000.0,41786000000.0,
Change In Payable,128583000000.0,-223605000000.0,261054000000.0,-98325000000.0,114476000000.0,
Change In Account Payable,128583000000.0,-223605000000.0,261054000000.0,-98325000000.0,114476000000.0,
Change In Inventory,-54770000000.0,77848000000.0,-48329000000.0,97627000000.0,-20216000000.0,
Change In Receivables,-12499000000.0,-9216000000.0,-279893000000.0,-222330000000.0,-154190000000.0,
Changes In Account Receivables,-23821000000.0,186576000000.0,-161809000000.0,-14986000000.0,109477000000.0,
Other Non Cash Items,-92653000000.0,67132000000.0,-65446000000.0,-145017000000.0,-30420000000.0,
Depreciation Amortization Depletion,300411000000.0,178612000000.0,194893000000.0,181164000000.0,178880000000.0,
Depreciation And Amortization,300411000000.0,178612000000.0,194893000000.0,181164000000.0,178880000000.0,
Depreciation,300411000000.0,178612000000.0,194893000000.0,181164000000.0,178880000000.0,
Operating Gains Losses,-6682000000.0,-4213000000.0,-28247000000.0,6506000000.0,22193000000.0,
Earnings Losses From Equity Investments,-6682000000.0,-4213000000.0,-28247000000.0,6506000000.0,22193000000.0,
Net Income From Continuing Operations,235085000000.0,292334000000.0,92081000000.0,483606000000.0,182479000000.0,
