,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-10002825000.0,21284480000.0,-7045176000.0,-1438931000.0,
Tax Rate For Calcs,0.315,0.28,0.184,0.289,
Normalized EBITDA,2147165000000.0,2420365000000.0,1675596000000.0,1703099000000.0,
Total Unusual Items,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,
Total Unusual Items Excluding Goodwill,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,
Net Income From Continuing Operation Net Minority Interest,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,
Reconciled Depreciation,742863000000.0,794366000000.0,721630000000.0,611063000000.0,
Reconciled Cost Of Revenue,17024788000000.0,16016659000000.0,13576133000000.0,11567923000000.0,
EBITDA,2115410000000.0,2496381000000.0,1637307000000.0,1698120000000.0,
EBIT,1372547000000.0,1702015000000.0,915677000000.0,1087057000000.0,
Net Interest Income,134927000000.0,73574000000.0,19640000000.0,1425000000.0,
Interest Expense,54907000000.0,59631000000.0,36112000000.0,16867000000.0,
Interest Income,191131000000.0,173695000000.0,73071000000.0,25627000000.0,
Normalized Income,857589175000.0,1052442480000.0,682659824000.0,710607069000.0,
Net Income From Continuing And Discontinued Operation,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,
Total Expenses,20475281000000.0,19046825000000.0,16126956000000.0,13681464000000.0,
Total Operating Income As Reported,1213486000000.0,1381977000000.0,780769000000.0,871232000000.0,
Diluted Average Shares,4671383489.0,4901560332.0,5088921345.0,5159885505.0,
Basic Average Shares,4671383489.0,4901560332.0,5088921345.0,5159885505.0,
Diluted EPS,178.93,225.88,136.623333,137.03,
Basic EPS,178.93,225.88,136.623333,137.03,
Diluted NI Availto Com Stockholders,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,
Net Income Common Stockholders,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,
Net Income,835837000000.0,1107174000000.0,651416000000.0,707067000000.0,
Minority Interests,-67197000000.0,-75416000000.0,-65893000000.0,-53634000000.0,
Net Income Including Noncontrolling Interests,903034000000.0,1182590000000.0,717309000000.0,760701000000.0,
Net Income Continuous Operations,903034000000.0,1182590000000.0,717309000000.0,760701000000.0,
Tax Provision,414606000000.0,459794000000.0,162256000000.0,309489000000.0,
Pretax Income,1317640000000.0,1642384000000.0,879565000000.0,1070190000000.0,
Other Income Expense,-30773000000.0,186833000000.0,79156000000.0,197533000000.0,
Other Non Operating Income Expenses,,,,-7335000000.0,-17128000000.0
Earnings From Equity Interest,982000000.0,110817000000.0,117445000000.0,202512000000.0,
Gain On Sale Of Security,-31755000000.0,76016000000.0,-38289000000.0,-4979000000.0,
Net Non Operating Interest Income Expense,134927000000.0,73574000000.0,19640000000.0,1425000000.0,
Total Other Finance Cost,1297000000.0,40490000000.0,17319000000.0,7335000000.0,
Interest Expense Non Operating,54907000000.0,59631000000.0,36112000000.0,16867000000.0,
Interest Income Non Operating,191131000000.0,173695000000.0,73071000000.0,25627000000.0,
Operating Income,1213486000000.0,1381977000000.0,780769000000.0,871232000000.0,
Operating Expense,3450493000000.0,3030166000000.0,2550823000000.0,2113541000000.0,
Research And Development,1099482000000.0,923627000000.0,880915000000.0,787056000000.0,
Selling General And Administration,2351011000000.0,2106539000000.0,1669908000000.0,1326485000000.0,
Gross Profit,4663979000000.0,4412143000000.0,3331592000000.0,2984773000000.0,
Cost Of Revenue,17024788000000.0,16016659000000.0,13576133000000.0,11567923000000.0,
Total Revenue,21688767000000.0,20428802000000.0,16907725000000.0,14552696000000.0,
Operating Revenue,21688767000000.0,20428802000000.0,16907725000000.0,14552696000000.0,
