,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,231739000000.0,290155000000.0,409134000000.0,1252212000000.0,
Repurchase Of Capital Stock,,,,-253685000000.0,-250244000000.0
Repayment Of Debt,-966690000000.0,-626451000000.0,-693427000000.0,-401905000000.0,
Issuance Of Debt,1540780000000.0,1085358000000.0,1090877000000.0,1716162000000.0,
Issuance Of Capital Stock,,,,58000000.0,200026000000.0
Capital Expenditure,-2132292000000.0,-2084004000000.0,-1851879000000.0,-1758045000000.0,
End Cash Position,1000994000000.0,982874000000.0,793920000000.0,834564000000.0,
Beginning Cash Position,982874000000.0,793920000000.0,834564000000.0,935727000000.0,
Effect Of Exchange Rate Changes,-3240000000.0,38484000000.0,25452000000.0,25862000000.0,
Changes In Cash,21360000000.0,150470000000.0,-66096000000.0,-127025000000.0,
Financing Cash Flow,-343027000000.0,-234454000000.0,-590197000000.0,-1438130000000.0,
Net Other Financing Charges,9315000000.0,51665000000.0,-108512000000.0,-15973000000.0,
Cash Dividends Paid,-436766000000.0,-417438000000.0,-419525000000.0,-396963000000.0,
Common Stock Dividend Paid,-436766000000.0,-417438000000.0,-419525000000.0,-396963000000.0,
Net Common Stock Issuance,-202381000000.0,-200388000000.0,-511070000000.0,-253627000000.0,
Common Stock Payments,,,,-253685000000.0,-250244000000.0
Common Stock Issuance,,,,58000000.0,200026000000.0
Net Issuance Payments Of Debt,572135000000.0,593435000000.0,693014000000.0,-545850000000.0,
Net Short Term Debt Issuance,-1955000000.0,134528000000.0,295564000000.0,-1860107000000.0,
Net Long Term Debt Issuance,574090000000.0,458907000000.0,397450000000.0,1314257000000.0,
Long Term Debt Payments,-966690000000.0,-626451000000.0,-693427000000.0,-401905000000.0,
Long Term Debt Issuance,1540780000000.0,1085358000000.0,1090877000000.0,1716162000000.0,
Investing Cash Flow,-1999644000000.0,-1989235000000.0,-1736912000000.0,-1699152000000.0,
Net Other Investing Changes,-23036000000.0,-24676000000.0,735000000.0,77001000000.0,
Net Investment Purchase And Sale,76336000000.0,57950000000.0,32649000000.0,61360000000.0,
Sale Of Investment,187980000000.0,148558000000.0,109153000000.0,187198000000.0,
Purchase Of Investment,-111644000000.0,-90608000000.0,-76504000000.0,-125838000000.0,
Net Business Purchase And Sale,-19704000000.0,-212656000000.0,-26970000000.0,-105811000000.0,
Sale Of Business,65129000000.0,167857000000.0,54675000000.0,15936000000.0,
Purchase Of Business,-84833000000.0,-380513000000.0,-81645000000.0,-121747000000.0,
Net PPE Purchase And Sale,-2044684000000.0,-1823793000000.0,-1760663000000.0,-1758045000000.0,
Sale Of PPE,87608000000.0,260211000000.0,91216000000.0,,
Purchase Of PPE,-2132292000000.0,-2084004000000.0,-1851879000000.0,-1758045000000.0,
Operating Cash Flow,2364031000000.0,2374159000000.0,2261013000000.0,3010257000000.0,
Taxes Refund Paid,-387862000000.0,-485605000000.0,-738358000000.0,-434264000000.0,
Interest Received Cfo,108253000000.0,105206000000.0,95023000000.0,79703000000.0,
Interest Paid Cfo,-140432000000.0,-88666000000.0,-67224000000.0,-47858000000.0,
Change In Working Capital,-565479000000.0,-677251000000.0,-470165000000.0,67965000000.0,
Change In Other Current Liabilities,-17852000000.0,63851000000.0,-14985000000.0,42502000000.0,
Change In Other Current Assets,-79807000000.0,-62211000000.0,-33609000000.0,-10421000000.0,
Change In Payable,-66937000000.0,27848000000.0,252070000000.0,137551000000.0,
Change In Inventory,-86181000000.0,-51819000000.0,-140858000000.0,-86559000000.0,
Change In Receivables,-249984000000.0,-586516000000.0,-469139000000.0,828000000.0,
Other Non Cash Items,49724000000.0,1478000000.0,37219000000.0,-61066000000.0,
Deferred Tax,482261000000.0,635338000000.0,524923000000.0,539531000000.0,
Depreciation And Amortization,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0,
Depreciation,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0,
Gain Loss On Sale Of PPE,18516000000.0,-80312000000.0,2259000000.0,30728000000.0,
Net Income From Continuing Operations,1082435000000.0,1345119000000.0,1292756000000.0,1255994000000.0,
