,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-487050000.0,-6733768000.0,-10944934000.0,-9673258000.0
Tax Rate For Calcs,0.255,0.268,0.242,0.329
Normalized EBITDA,1747333000000.0,1636261000000.0,1789517000000.0,1699165000000.0
Total Unusual Items,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0
Total Unusual Items Excluding Goodwill,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0
Net Income From Continuing Operation Net Minority Interest,526133000000.0,489074000000.0,531366000000.0,517075000000.0
Reconciled Depreciation,748014000000.0,743808000000.0,764210000000.0,745310000000.0
Reconciled Cost Of Revenue,3384115000000.0,3150653000000.0,3194085000000.0,2889116000000.0
EBITDA,1745423000000.0,1611135000000.0,1744290000000.0,1669763000000.0
EBIT,997409000000.0,867327000000.0,980080000000.0,924453000000.0
Net Interest Income,-105676000000.0,-48494000000.0,-105307000000.0,-26971000000.0
Interest Expense,117352000000.0,61415000000.0,117212000000.0,66442000000.0
Interest Income,11676000000.0,12921000000.0,11905000000.0,39471000000.0
Normalized Income,527555950000.0,507466232000.0,565648066000.0,536803742000.0
Net Income From Continuing And Discontinued Operation,526133000000.0,489074000000.0,531366000000.0,517075000000.0
Total Expenses,5555333000000.0,5207934000000.0,4851831000000.0,4725053000000.0
Total Operating Income As Reported,989016000000.0,876068000000.0,1060168000000.0,965553000000.0
Diluted Average Shares,48536254613.0,48346579676.0,47633510000.0,47797652061.0
Basic Average Shares,47873794359.0,47404671901.0,47219669210.0,47492850000.0
Diluted EPS,10.84,10.116,11.1,10.818
Basic EPS,10.99,10.317,11.253,11.004
Diluted NI Availto Com Stockholders,526133000000.0,489074000000.0,531366000000.0,517075000000.0
Net Income Common Stockholders,526133000000.0,489074000000.0,531366000000.0,517075000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,526133000000.0,489074000000.0,531366000000.0,517075000000.0
Minority Interests,-129153000000.0,-101191000000.0,-122759000000.0,-58358000000.0
Net Income Including Noncontrolling Interests,655286000000.0,590265000000.0,654125000000.0,575433000000.0
Net Income Continuous Operations,655286000000.0,590265000000.0,654125000000.0,575433000000.0
Tax Provision,224771000000.0,215647000000.0,208743000000.0,282578000000.0
Pretax Income,880057000000.0,805912000000.0,862868000000.0,858011000000.0
Special Income Charges,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0
Write Off,1910000000.0,25126000000.0,45227000000.0,29402000000.0
Net Non Operating Interest Income Expense,-105676000000.0,-48494000000.0,-105307000000.0,-26971000000.0
Interest Expense Non Operating,117352000000.0,61415000000.0,117212000000.0,66442000000.0
Interest Income Non Operating,11676000000.0,12921000000.0,11905000000.0,39471000000.0
Operating Income,989016000000.0,876068000000.0,1060168000000.0,965553000000.0
Operating Expense,2171218000000.0,2057281000000.0,1657746000000.0,1835937000000.0
Other Operating Expenses,13822000000.0,5688000000.0,14588000000.0,2448000000.0
Selling General And Administration,2200591000000.0,2081765000000.0,1964580000000.0,1858709000000.0
General And Administrative Expense,2200591000000.0,2081765000000.0,1964580000000.0,1858709000000.0
Gross Profit,3160234000000.0,2933349000000.0,2717914000000.0,2801490000000.0
Cost Of Revenue,3384115000000.0,3150653000000.0,3194085000000.0,2889116000000.0
Total Revenue,6544349000000.0,6084002000000.0,5911999000000.0,5690606000000.0
Operating Revenue,6544349000000.0,6084002000000.0,5911999000000.0,5690606000000.0
