,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,61341000000.0,31786000000.0,14374000000.0,42880000000.0,
Repurchase Of Capital Stock,-2000000.0,-1000000.0,-13645000000.0,-2000000.0,
Repayment Of Debt,-688000000.0,-3685000000.0,-626000000.0,-727000000.0,
Issuance Of Debt,,3000000000.0,0.0,0.0,3000000000.0
Capital Expenditure,-6277000000.0,-5135000000.0,-7415000000.0,-4067000000.0,
End Cash Position,150426000000.0,109091000000.0,89470000000.0,95635000000.0,
Other Cash Adjustment Outside Changein Cash,-1000000.0,,1000000.0,1000000.0,
Beginning Cash Position,109091000000.0,89470000000.0,95635000000.0,64043000000.0,
Effect Of Exchange Rate Changes,-274000000.0,4631000000.0,2209000000.0,2050000000.0,
Changes In Cash,41610000000.0,14990000000.0,-8375000000.0,29541000000.0,
Financing Cash Flow,-18735000000.0,-15969000000.0,-22485000000.0,-9980000000.0,
Net Other Financing Charges,,,-2000000.0,-2000000.0,-2000000.0
Cash Dividends Paid,-16823000000.0,-14266000000.0,-10868000000.0,-8745000000.0,
Net Common Stock Issuance,-2000000.0,-1000000.0,-13645000000.0,-2000000.0,
Common Stock Payments,-2000000.0,-1000000.0,-13645000000.0,-2000000.0,
Net Issuance Payments Of Debt,-688000000.0,-685000000.0,2965000000.0,-727000000.0,
Net Short Term Debt Issuance,,0.0,3591000000.0,0.0,
Net Long Term Debt Issuance,-688000000.0,-685000000.0,-626000000.0,-727000000.0,
Long Term Debt Payments,-688000000.0,-3685000000.0,-626000000.0,-727000000.0,
Long Term Debt Issuance,,3000000000.0,0.0,0.0,3000000000.0
Investing Cash Flow,-7273000000.0,-5962000000.0,-7679000000.0,-7426000000.0,
Net Other Investing Changes,-1022000000.0,-161000000.0,-390000000.0,-28000000.0,
Net Investment Purchase And Sale,-151000000.0,-545000000.0,122000000.0,-3333000000.0,
Sale Of Investment,32107000000.0,27898000000.0,25441000000.0,17980000000.0,
Purchase Of Investment,-32258000000.0,-28443000000.0,-25319000000.0,-21313000000.0,
Net Business Purchase And Sale,-162000000.0,-122000000.0,0.0,,
Purchase Of Business,-162000000.0,-122000000.0,0.0,,
Net Intangibles Purchase And Sale,-431000000.0,-297000000.0,-312000000.0,-1117000000.0,
Purchase Of Intangibles,-431000000.0,-297000000.0,-312000000.0,-1117000000.0,
Net PPE Purchase And Sale,-5507000000.0,-4837000000.0,-7099000000.0,-2948000000.0,
Sale Of PPE,339000000.0,1000000.0,4000000.0,2000000.0,
Purchase Of PPE,-5846000000.0,-4838000000.0,-7103000000.0,-2950000000.0,
Operating Cash Flow,67618000000.0,36921000000.0,21789000000.0,46947000000.0,
Taxes Refund Paid,-8578000000.0,-20094000000.0,-10698000000.0,-11155000000.0,
Interest Received Cfo,1131000000.0,1130000000.0,277000000.0,58000000.0,
Interest Paid Cfo,-77000000.0,-59000000.0,-41000000.0,-49000000.0,
Change In Working Capital,4566000000.0,-4009000000.0,-23806000000.0,13818000000.0,
Change In Other Current Assets,19932000000.0,-4892000000.0,-3729000000.0,2008000000.0,
Change In Payable,1299000000.0,-1438000000.0,1869000000.0,-180000000.0,
Change In Inventory,-11242000000.0,-1613000000.0,-7820000000.0,-5361000000.0,
Change In Receivables,-7976000000.0,-71000000.0,-17155000000.0,17208000000.0,
Other Non Cash Items,333000000.0,-2053000000.0,1728000000.0,-3172000000.0,
Stock Based Compensation,49000000.0,,,,
Depreciation And Amortization,4675000000.0,4221000000.0,3438000000.0,3385000000.0,
Depreciation,4675000000.0,4221000000.0,3438000000.0,3385000000.0,
Gain Loss On Investment Securities,-15000000.0,-361000000.0,35000000.0,8000000.0,
Net Foreign Currency Exchange Gain Loss,-117000000.0,-1134000000.0,-477000000.0,-265000000.0,
Gain Loss On Sale Of PPE,,34000000.0,35000000.0,8000000.0,16000000.0
Net Income From Continuing Operations,65651000000.0,59282000000.0,51143000000.0,44322000000.0,
