,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-694199000.0,-1720444539.431502,-923461487.803765,-928953365.830554,
Tax Rate For Calcs,0.283,0.302629,0.308026,0.304375,
Normalized EBITDA,255874000000.0,242297000000.0,226174000000.0,223362000000.0,
Total Unusual Items,-2453000000.0,-5685000000.0,-2998000000.0,-3052000000.0,
Total Unusual Items Excluding Goodwill,-2453000000.0,-5685000000.0,-2998000000.0,-3052000000.0,
Net Income From Continuing Operation Net Minority Interest,108109000000.0,101951000000.0,96085000000.0,94273000000.0,
Reconciled Depreciation,77242000000.0,71781000000.0,68940000000.0,67460000000.0,
Reconciled Cost Of Revenue,828789000000.0,797456000000.0,758850000000.0,712187000000.0,
EBITDA,253421000000.0,236612000000.0,223176000000.0,220310000000.0,
EBIT,176179000000.0,164831000000.0,154236000000.0,152850000000.0,
Net Interest Income,2390000000.0,1683000000.0,726000000.0,393000000.0,
Interest Expense,1311000000.0,1066000000.0,869000000.0,837000000.0,
Interest Income,3701000000.0,2749000000.0,1595000000.0,1230000000.0,
Normalized Income,109867801000.0,105915555460.5685,98159538512.19623,96396046634.16945,
Net Income From Continuing And Discontinued Operation,108109000000.0,101951000000.0,96085000000.0,94273000000.0,
Total Expenses,1055636000000.0,1014073000000.0,964600000000.0,906355000000.0,
Rent Expense Supplemental,13269000000.0,12699000000.0,12511000000.0,11757000000.0,
Total Operating Income As Reported,144297000000.0,140658000000.0,136700000000.0,143499000000.0,
Diluted Average Shares,448547838.0,422998091.0,431830510.0,437190762.0,
Basic Average Shares,448547838.0,422998091.0,431830510.0,437190762.0,
Diluted EPS,241.02,241.02,222.51,215.635,
Basic EPS,241.02,241.02,222.51,215.635,
Diluted NI Availto Com Stockholders,108109000000.0,101951000000.0,96085000000.0,94273000000.0,
Net Income Common Stockholders,108109000000.0,101951000000.0,96085000000.0,94273000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,108109000000.0,101951000000.0,96085000000.0,94273000000.0,
Minority Interests,-17197000000.0,-12253000000.0,-10040000000.0,-11470000000.0,
Net Income Including Noncontrolling Interests,125306000000.0,114204000000.0,106126000000.0,105744000000.0,
Net Income Continuous Operations,125307000000.0,114205000000.0,106126000000.0,105744000000.0,
Tax Provision,49561000000.0,49560000000.0,47241000000.0,46269000000.0,
Pretax Income,174868000000.0,163765000000.0,153367000000.0,152013000000.0,
Other Non Operating Income Expenses,-207000000.0,1633000000.0,2763000000.0,986000000.0,
Special Income Charges,-2289000000.0,-4519000000.0,-3975000000.0,-3415000000.0,
Other Special Charges,-595000000.0,1543000000.0,782000000.0,3287000000.0,
Write Off,2884000000.0,2976000000.0,3193000000.0,128000000.0,
Impairment Of Capital Assets,,,,,582000000.0
Restructuring And Mergern Acquisition,,,,,-120000000.0
Net Non Operating Interest Income Expense,2390000000.0,1683000000.0,726000000.0,393000000.0,
Interest Expense Non Operating,1311000000.0,1066000000.0,869000000.0,837000000.0,
Interest Income Non Operating,3701000000.0,2749000000.0,1595000000.0,1230000000.0,
Operating Income,144306000000.0,140667000000.0,136706000000.0,143504000000.0,
Operating Expense,226847000000.0,216617000000.0,205750000000.0,194168000000.0,
Other Operating Expenses,60067000000.0,56347000000.0,51282000000.0,48388000000.0,
Depreciation And Amortization In Income Statement,19179000000.0,17808000000.0,16767000000.0,15289000000.0,
Amortization,6641000000.0,6571000000.0,6426000000.0,5598000000.0,
Depreciation Income Statement,12538000000.0,11237000000.0,10341000000.0,9691000000.0,
Selling General And Administration,9776000000.0,10193000000.0,10129000000.0,9453000000.0,
Selling And Marketing Expense,5218000000.0,5700000000.0,5759000000.0,5296000000.0,
General And Administrative Expense,4558000000.0,4493000000.0,4370000000.0,4157000000.0,
Rent And Landing Fees,13269000000.0,12699000000.0,12511000000.0,11757000000.0,
Gross Profit,371153000000.0,357284000000.0,342456000000.0,337672000000.0,
Cost Of Revenue,828789000000.0,797456000000.0,758850000000.0,712187000000.0,
Total Revenue,1199942000000.0,1154740000000.0,1101307000000.0,1049859000000.0,
Operating Revenue,1199942000000.0,1154740000000.0,1101307000000.0,1049859000000.0,
