,2024-08-31,2024-05-31
Free Cash Flow,168937000000.0,101203000000.0
Repayment Of Debt,-1286000000.0,-1206000000.0
Issuance Of Debt,2038000000.0,1235000000.0
Capital Expenditure,-28193000000.0,-30810000000.0
End Cash Position,1193560000000.0,1097753000000.0
Beginning Cash Position,1097753000000.0,1065864000000.0
Effect Of Exchange Rate Changes,-65130000000.0,29326000000.0
Changes In Cash,160937000000.0,2563000000.0
Financing Cash Flow,-39425000000.0,-98149000000.0
Net Other Financing Charges,18000000.0,12000000.0
Cash Dividends Paid,-38000000.0,-53632000000.0
Common Stock Dividend Paid,-38000000.0,-53632000000.0
Net Issuance Payments Of Debt,752000000.0,29000000.0
Net Short Term Debt Issuance,752000000.0,29000000.0
Short Term Debt Payments,-1286000000.0,-1206000000.0
Short Term Debt Issuance,2038000000.0,1235000000.0
Net Long Term Debt Issuance,0.0,0.0
Long Term Debt Payments,0.0,0.0
Investing Cash Flow,3232000000.0,-31301000000.0
Net Other Investing Changes,716000000.0,-587000000.0
Net Investment Purchase And Sale,30709000000.0,96000000.0
Sale Of Investment,270180000000.0,148630000000.0
Purchase Of Investment,-239471000000.0,-148534000000.0
Net Intangibles Purchase And Sale,-6823000000.0,-7824000000.0
Purchase Of Intangibles,-6823000000.0,-7824000000.0
Net PPE Purchase And Sale,-21370000000.0,-22986000000.0
Purchase Of PPE,-21370000000.0,-22986000000.0
Operating Cash Flow,197130000000.0,132013000000.0
Taxes Refund Paid,-20321000000.0,-44470000000.0
Interest Received Cfo,19599000000.0,12467000000.0
Interest Paid Cfo,-3615000000.0,-2551000000.0
Change In Working Capital,28568000000.0,-20776000000.0
Change In Other Current Liabilities,26329000000.0,-12098000000.0
Change In Other Current Assets,-2885000000.0,1524000000.0
Change In Payable,64589000000.0,13792000000.0
Change In Inventory,-83172000000.0,17567000000.0
Change In Receivables,23707000000.0,-41561000000.0
Other Non Cash Items,8182000000.0,-24138000000.0
Depreciation And Amortization,52856000000.0,51781000000.0
Depreciation,52856000000.0,51781000000.0
Net Foreign Currency Exchange Gain Loss,34903000000.0,-18947000000.0
Gain Loss On Sale Of PPE,382000000.0,311000000.0
Net Income From Continuing Operations,79434000000.0,178372000000.0
