,2025-11-30,2024-11-30,2024-08-31,2024-05-31
Tax Effect Of Unusual Items,,,0.0,0.0
Tax Rate For Calcs,,,0.223657,0.313235
Normalized EBITDA,,,135538000000.0,233042000000.0
Net Income From Continuing Operation Net Minority Interest,,,59161000000.0,116927000000.0
Reconciled Depreciation,,,52856000000.0,51781000000.0
Reconciled Cost Of Revenue,,,343238000000.0,333771000000.0
EBITDA,,,135538000000.0,233042000000.0
EBIT,,,82682000000.0,181261000000.0
Net Interest Income,,,-19666000000.0,33654000000.0
Interest Expense,,,3248000000.0,2890000000.0
Interest Income,,,-16418000000.0,36544000000.0
Normalized Income,,,59161000000.0,116927000000.0
Net Income From Continuing And Discontinued Operation,,,59161000000.0,116927000000.0
Total Expenses,,,638274000000.0,623172000000.0
Total Operating Income As Reported,,,99101000000.0,144718000000.0
Diluted Average Shares,307247494.0,307240809.0,,307239141.0
Basic Average Shares,306825512.0,306755155.0,,306715283.0
Diluted EPS,479.89,429.51,,380.57
Basic EPS,480.55,430.19,,381.22
Diluted NI Availto Com Stockholders,,,59161000000.0,116926000000.0
Net Income Common Stockholders,,,59161000000.0,116926000000.0
Otherunder Preferred Stock Dividend,,,0.0,1000000.0
Net Income,,,59161000000.0,116927000000.0
Minority Interests,,,-2507000000.0,-5572000000.0
Net Income Including Noncontrolling Interests,,,61668000000.0,122499000000.0
Net Income Continuous Operations,,,61668000000.0,122499000000.0
Tax Provision,,,17766000000.0,55872000000.0
Pretax Income,,,79434000000.0,178371000000.0
Net Non Operating Interest Income Expense,,,-19666000000.0,33654000000.0
Interest Expense Non Operating,,,3248000000.0,2890000000.0
Interest Income Non Operating,,,-16418000000.0,36544000000.0
Operating Income,,,99061000000.0,144329000000.0
Operating Expense,,,295036000000.0,289401000000.0
Other Operating Expenses,,,2752000000.0,1090000000.0
Selling General And Administration,,,301841000000.0,291799000000.0
General And Administrative Expense,,,301841000000.0,291799000000.0
Gross Profit,,,394097000000.0,433730000000.0
Cost Of Revenue,,,343238000000.0,333771000000.0
Total Revenue,,,737335000000.0,767502000000.0
Operating Revenue,,,737335000000.0,767502000000.0
